id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)","Tweet originário foi apagado? (1=sim, 0=não)","Reação a tweet bolsonarista? (1=sim, 0=não)","Tweet de conta suspensa? (1=sim, 0=não)",filename
gAAAAABj7je3dDx9AntUJS_qSCxzFK-keEbFo5021-uEh2rpG1dsBzLEhPOPQP_hSvFRuqmYPuzg4tSt3bcfL-wxJ5U8uIBhOzdDPZySaAcJ14AtEmeiZsk=,"@fabiofelixdf Inseticida, o cara da camisa Gucci que falou que a burguesia fede para um público que pagou mil reais num ingresso e trinta contos num pão com salsicha kkkkk ahhhhh, como deve ser bom ser burguês.... Pena que fede mesmo kkkkkk fede a hipocrisia",gAAAAABj7je3r2AIDGpFWO0RD0FUSbKAn5vTSFCFNgLI9DiiLELdzg4PWTOIYDBufud3gqWmIKtE59YiJKnT1732osDilh7JgW-RpDfGT-1JZQxfeQq6E9FOMHQ6yz2pAxfcNSWOB11p-bSAwbjtwNoH5a3aj2utqQ==,0,0,0,0,0,0,0,1,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3nNcWGTdrC72oFCUwBMpB7GVPd8ZH5_fsPZKRZpEE-6PEOeeJctUSLNL-YQIXUyK5dHKo3mTYqCzZR433n1dPjSohsf0oXqxSogiJjdjn1to=,@guimaraes13PT @LulaOficial Segura a cueca!,gAAAAABj7je3nSo22Moi9rwwIPSU_FMuWT47Fu8I9r0hU-ENhqDRClOyUwuMXvC1iSvTBKZ0GmS5zOQvvFyzSzK9TZue6zcwca0Mkfge0kexATZGwokmjGdoDWiwXSV5DWe1wJZDgW5pxwcazu14Vp7qeCi8c_TowDipyNhvZ1lcq8UUMrFvmJc=,1,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3NGCRFu8hMvEdToe_k_KnOrmDOEatz5GpWB_rUAoRb0zLylObV79-BvVJid624SE-pwlapoEEv7QRLVaRoZH-9DuPMDHSXHoSXtb7tMDGoG8=,@Eunicio Na jugular vc mata o cabra da peste parisiense.,gAAAAABj7je35LYXWk9qiCoWVei_C-h0rlmPZfTHlE9djkEmMyge0m-b9EZ8G8fMN_uKgWVzulJZuZYJ9g32K2hUVvgnKE9XQ7eak_ubayA6ZggGnOFMtp3X_2cbZ1dDwqMG3c4rqjYU-kTAOvCWabQMJl0jeKEpUfa1V-KRuXmanvBsBeHQ-h4=,0,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3_Y5Snh4BLsaDnJ9guko_rKvzoJenVEdShfkMxKhclPQkj4HDMgJfOo3DRXPCzJwiydUoWxCOqqAatQEj6c6wqbvuVNnKYNMbguC8RwWoBok=,Pode dar adeus ao campeonato seu vereador de merda @marcosbrazrio,gAAAAABj7je3BC4sxgCPdzbJwsCrX4Iqvw4xhpA3ZMt0Kddj2xIOUYGS5E76I0RsxkLEivXNT1OEjt69teVTjiqglXH1xBgiKL9zP8pmsU59L4oN_gRaW1uuVp1JFDzo1FPJHAEp_wEYvx3qXs3UFSt6ZMCGWJKauQ==,1,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3-jueBTzhK6PgOQapiO5MTIaXEQpTsxMXWd5tY0bQiLl2uOmNDZl8eKemDvtTfaZxNalbqujd3LDymU4Gabl597AAfK4Mk8VTxDt2p8UcLeM=,"@pauloeneas Nesse nível  não é apoiador...

é adorador.

É um fanático de uma seita , é quase um homem-bomba.",gAAAAABj7je3faU-d11N0A2XTDm5UNCeX0ViLD_Sq48TO327wSiooQ5indAkhlAsu-BjOQwfhMO7wFVVYNxhLtA_pZcJ4dqsrXaeNEVQqpwhNYXP4qyQqLaDxeV6bv_G8hYL68urgzjLU6r4MouZ56VV5YQlbKYo4g==,1,0,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3g3lGx3ga-wVVubhUSG6AUv3XFLSxIlPkl7gLBi0kgwVgQOe1OOLV5xK2MOWO7tuVTKig9sHxzgZ7TD3kvYdmmffcr6h_z_FLYB-7WViGnqs=,@tiriricanaweb Sai fora...não trabalha... uma vergonha,gAAAAABj7je3ivqvvSBANG6QgfKhUqOOVF6Fb_k9RsDjYfjf5xDHaTT9KDff8zmd5USVVc2wppwidIjc_WNMhC5BB5QClHwyq4Y5WmUanEhEtiidL-wqWhuPvwa-adHSleOODdGjffAgb-Qx1-zCIPk_MhXNDg0oDsR0V6A5clMzjCkusPRc_Do=,0,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3GyTKbyYazZ3DBXdnfCRVJs2tMbiDhMxpnkJTbj-IbjY1JDmofArtX0XVZ0YTF2SyZlgzMEN2C4d5HZ2Nn9lWrBM88-5qi22uTOZXNG7mmMM=,"tem seborreia a calvície dele para na bunda ...🙄🙄e quer vir falar da nossa deusa rainha melhor de todas a mais bonita cheirosa carinhosa talentosa gostosa de fracasso,e por causa disso que eu deixe-o todos os fãs da ariana xingar ele.
@AriadnaArantes",gAAAAABj7je3C__wZOfi0sadQC63kj7rj6SJUg2OpUo6SYb0JIfeR7Da2UPGOMDxneDhv3rXoaoxOzgtbTdo8v43yiKHmXEEX9EPwgj6kEZaCu8m8B9_wrJc-0Vb9fYtL-NTCtHOuY5w8cn6ZLGmDCof4ankZ-sAJg==,1,1,0,1,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3TQTtr5LQ5zFOS_v3UrodUARlaHawh02hywxxnmrNUeF52qhlN5_1Dil85gj8sjtCgl07H_7cj3TkvpkgdLsNYTxmE9bBMIX-fTildXo6dA0=,"@pauloeneas Esse maluco é candidato a deputado. 
Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
O bica de farofa mirim é candidato?
Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
Çê vai ganhar o que Maria ganhou na gafieira. 
Kkkkkkkkkkkkkkkkkkjkkkjkjj",gAAAAABj7je3gfh0EKLStYQr4mJohSsMLxn4PrAQN-7na0ybFSRM0u7FwqUJ_abTv286OIXUui2k4VZS_lgehLUUsMuFjSj3eRMrMiyGKCy_iXsxosq580L26T97sXRa7ShpKdMQB9ubI7rFpq2b_m61qYSlxEGpEw==,1,1,0,1,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3Pyt2yDOuehtSkYyJV-UXC3NxW-t_JtfnMWnOyfGFZVBlSSz_qLHqM4MutDC9ABRV-Ot20gVkumRYUnC95OJrhA-TxpD78do8hCSi2yijnM8=,"@GMonteiroRJ @eu_davidbraga Gravar pornografia infantil é crime sim, seu marginal sem vergonha, e ainda está cometendo outro, ao fazer apologia à pedofilia, alô @mp_rj, @MPF_PGR @PCERJ https://t.co/09GpeYeDwo",gAAAAABj7je3iaJB0BUyOoLRPTToh6JOn7WNL-BRyA_ZKp6AiI3sDeLg5iOGWUsBewcCnn088OmXnkoPOgvSpGdPOTBNmVg5-czTHbxNdg3nEczm48MFb-S-BB6R3vG-w5JmOD8OJK0nrt6Ie54ARZylEjR7c9HqDQ==,1,1,0,0,0,1,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3u5ie4y7_YW9fvvFSq_QvrME0EK4xSUL3D7akmBg9DTJ8ebYrVZqvAu_orMHFX_HPGOcdbW---7bdvqki-zqKSofPEFM9gkaJzEyM67wBepo=,@Izalourenca BH é um reduto bozoloide… tá foda,gAAAAABj7je3VLsIFXvO3lc6FB2GpKQz1U7nVUMgSe_KeXdlK86E7mtLbmpyrAJjtozXlBfDL3SrLctmzRIzCgS8-6u64VA9aG21aXdwqxu1WZ30Wh5-e-Uq8qKpxQPAyRnrSa93B5s_3mpNUgfzJnwAuJAoQY_VOOAY_iVkSqdkisTfFyBzMuA=,0,0,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3WAep2775Z6su0JLhZOTEVXTEDLJj0vQiaKUiGMpaH36_mcROcpnEL6sZC7bk94GF2Pw8kzMdFf4GC6wJJXwbyZjIxENPWARW6u-m8Oo5N7E=,"@tiriricanaweb Vai pra casa, vagabundo.",gAAAAABj7je3F3dKx_k2njt0IcOBOpMXfFioSBqIdEdddcqLgJM94DdhTgKXJSYH8MH89CmK-wXLpiFrHdFEv-P304JavNpHU69C2uh_Oed2s-x89qWHMWdc5OUr9hDXkWrHzvNSjXoM4tnXHjuAOoTM6bP1X3p1ZHK4t60RCfmnYy4u0G09ypQ=,1,1,0,0,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je38o7riDmIf6GSEWpcGdwEKWO_3KJSZEn6_rydCdJXPXpihq3ofgSj-bVf19YBz_OlFMxYk1hdKtTQXKhsYTZjVlQan5x0N4wyiwBWlJbgSNo=,@guimaraes13PT @ricardostuckert Esse vagabundo só quer nosso dinheiro.,gAAAAABj7je3ZiQraLwkMM02nZgkjwA4Z32xHJPORWmLao5PtUEENk-4-UPCX92JkImX69MYxZcz3O_6btWBwClOqfYIvtCgvg1dRKuwNAmuAtiqfJ-45UDhGnaLG85M27ZujBB3Il5cnh8F7JlFgbEN5clym2xKijl8dgU0YdDzdzPEOALm378=,1,1,0,0,0,0,0,1,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3wGlBzhRrUZ0WiPdEGn9lC5SYB2qAwizmysV-TPofAAGPk1xeyzCZqbcWGL3Ba2s3Fz4v8zuqcxFLkI_2cIS_oIgEUr8NFg6h_auqpk5tULA=,@DaianeMels @lelispatricia Cala a boca aí namoral,gAAAAABj7je3S1mLdEtfw5OTp4gUswQc1QvpcDQdsrWC1fdZLLKXqtb-ODyhG-HliIq6hWTadYMmacHOwrzgeBTPCvL6D9v5VVqV_mfM-N6otTfpKEVq-ZHDZiX_s7gXODFNCEmBG9vIOaGk5i3yCTAwkbv8jZrGZS51Kq3CnOwCw9wqUC4Pbn8=,1,0,0,1,0,0,1,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je37YygaFU4TYg_I60weKWAyywMd0RfRyBGkou0yQzn4a0Kf-kZsxg-FuqVEpu3ErsKUY8WeaAcEsYvrTg76K6-R4ygqtHw7zw3WsvhHb1TUKw=,@negrobelchior tô botando fé no seu axé 🙏🏽🎶✊🏽,gAAAAABj7je3Uy1P-GsjAA9hLXannBBtW6BUj6NyAc82wTO5ZVc69R39hl7c7kYSKLlqfGXJCfh7bbACuyTrdrcmCjpQECDF8FNAF8GczXuPwg2GUrVADfE-eS6IfUIsx0HW0J-2KvvtuVN0WZ80bvlKafka2BjSxnymJOBEHMro0MsVDWmlprs=,0,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3dAmk5ISTpvLClBmR4c-aFVdgVhUgSSAoZnh26WNgOzoF7vKFvmrw1ScXqdqK3R9eTuMLgqdHK0RLeAyrC-SmhuurnmrbdHRGHMVSGAU-iIk=,@gabysantospdt O cara não falou absolutamente nada!falou como se fosse errado a lava jato ter livrado a petrobras da corrupção e ainda vem com papinho de pulga atrás da Orelha…tenha Dó,gAAAAABj7je3MMnhZiD7JhgwztpYopGEMQlhF-gqForfCtPGEkaBpCKHLZv0zT9x60b-vxbdGpx7d1t3UTLIqu9MJZ1fNwd7FIZyCK_NPfxmLzFlfmQ9MGeySg1Y5jA27aOTtwxXpXjApqr7eRAmB1akjov0ottrHw==,1,1,0,0,0,0,0,1,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3XgUGY_jXqjfxnBx9QT-oAauYi9N0uXxqTxkHCuJrBlWjioKiHtPvc4iCsCTfq8dDWWOB2JRf5Y0Y93oiSIXBqNQaIJp6wN1DQjjAfoyoRSU=,@jfernandaBrasil É do bando doa pelegos dos lulistas estes dois,gAAAAABj7je3H-6uVs_UaVCIZMcBfIvY0eKj84tKez9zeVM3DJUsY8OR7qOUZx5oDYn_mWz_Eluk9VOTLp55le9yFoSZ1x8BV_yZH-7NHBccjtPk3zMMCxC6wpitZDQ7IcJRDDHYbkYk_rAf5X5N1p3tuboY4mP5RZG98f1hzqE_N0fpAkjJsfY=,1,0,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3PGwhVI272HIgndLJEB5eC2MpAEoi02gCTATRD1oqaCojwJTp2k3ZbEazqM5ogSJkk2MSSJMrX7aEshEyTVdcSvzNvytNH2uRAfKRuBvIJAM=,@GabrielRBCO Plano de melhorias para nossa amizade também seu vagabundo,gAAAAABj7je3Ir5nuHke-MrNKl105JNgzUQDt-n8BzyLnA9xZ5RacrFs6h__q3atY2WZGDTp-FK2rYAjPxE7A0fsL0VPAKlsOxazmoW8Nb6XaBM7kbB69DUH8nKDd8p457a3_yYvsMzqwIFmpQpjBUzrcFoig4nj6hAvGGfu2evMdh8PeeovEGc=,1,1,0,0,0,0,0,1,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3QbPqcrOFvjRqunMiVYCb-SQEt4_Zbl71Yoronn_ikoCFDxkkfnZcsX4c5U1AaXlpPBXKHtm_w3Gv1g2Rts0QWg7bWL1SK6oHkyppbnRR7ig=,"@VaiPaolla Pq não defende seu canditado com propostas?Pq ficar ofendendo brasileiros dessa maneira?
A pessoa odiosa aqui é vc.",gAAAAABj7je30Ouw1oSRUjGG92uUZOHasrRFn2SThvetQzBZTpt_ETEE-5Z2Lj3nmPwbtwyi97kGzdCnllkKfzDZyyg40nad0WAI_Z2D6lKCjYR2YB6dXXK2KqaQgDhg5M0wYenYIGlTlVeoBclXhbinhkbebzqjyg==,0,0,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3g-Zf-WXE5s3CbaATp_aaQYIXI4FYZE1k1hmzro1eyz1yiuwTQzx3faVOuPl6WS_pJ6jz7ZCrH2R_oYXU_PI-7Ua3S-EcOyXM5Ae-ada6hCU=,@perpetua_acre L de ladrão né.....kkkkkkkk,gAAAAABj7je3kybPe9yYBznP4zf3yin5FR8RFBz141VaLZzNnurNP9J_LU8aYzWy7355aLfGC9_qb8acKZtwG8f40hpjfxz_05rhVCW32PTbBU_y0_1-9wtSnWO5BQaEKf8KR6QdjUYF0JONfzMZWgsESurNOTpjdA8nZP259yVenDvyObn-gW8=,1,1,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je379vSgtL3_BBXutiiJP5BLetsINkNvFooIRdeOnLvf3MWmQYW_nmMFADRozTWJeEV12o2pHzikpCIWxNemKbytxFbSwPAONZtvPGrBr24_8w=,@beatrizcaminha @JanjaLula Kkkkkkk. Chupa cana,gAAAAABj7je3dzZOSPwBT8wkI6llvC5U6mYVhP0BxBw7XLOTCmYHzlD_AO4NAk8xY4Rex5lvKeUUqGWCAUi44GIVVLgCzGdz-cJDrKGl-7rgSJHbXwL0hpW70xhQF_p05yNHnfyRP5hAoi1Y5m2q-1c4B5WbisIOeg==,1,0,0,1,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3V1shrY1XyuNkNY_C9NHUZBDChvvh-6QQlu7hCSzSCeO6DNYbKqJ4fIQzN2n6WIokfJ0GOaXb-jefkxDUJmhq9GK0y5anvq7OGIupp14rpVY=,@caroldartora13 Quantas pessoas não sei ! Só sei que tem trouxa pra tudo 😁,gAAAAABj7je3_v4wfSzKbdBgePD4O1D5mpVrqCl00NbTlpCdi7IeypNWVYj9Cs4pjKVzbKHbaQqI1nzwvyGfAUIK_ON8J6XFstSn85ox0ZnW1DVDjIHqKlExkqeXyzaR_gvUUUyrmqoDuWb2CqypqQBI-MEykzoCdFKvjvElCALYeOefLisUIt0=,0,0,0,0,0,1,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
gAAAAABj7je3zRqMp1ONoUW1PY-Ke2VMwF2C1q1bGkqV_2ghRyaaPOYaA8Ap8kCxIa3iIsSU7FFz2FvevgWGE0Ap0X5VPBj2e9jWAdt9tX-RGxzrR0qfosI=,@fabiofelixdf #Absurdo,gAAAAABj7je3cSmUZUykIngQvXrhZohXe4uMM8QUxDt0rxiYEUE3Y6ZmwuILlC_aiU0IdfaVnic02PNrdu3HryD_YjEbhs7yW37RVd7Dz6fMcdgmltjtW0nWHxPxKVELRwXC0B_UAHuwj6aO6ffELxHHVLkUIQ-6HIQmdxHENbjiZpEzTEaA0gc=,0,0,0,0,0,0,0,0,../dados/brutos/eletweet22/tweets_anotados_pessoas_negras_A03.csv
