id,text,tweet_url,"É violento?
(1=sim, 0=não)","O candidato é o objeto do comentário?
(1=sim, 0=não)","Comentário é racista?
(1=sim, 0=não)","Comentário é machista?
(1=sim, 0=não)","Comentário é LGBTfóbico?
(1=sim, 0=não)","Comentário é capacitista?
(1=sim, 0=não)","Comentário é de intolerância religiosa?
(1=sim, 0=não)","Por ideologia política?
(1=sim, 0=não)","É contra outro político?
(1=sim, 0=não)",Contra quem?,"É para defender outro político?
(1=sim, 0=não)",Defender quem?,"É praticado por político?
(1=sim, 0=não)","Parece ser perfil fake?
(1=sim, 0=não)",filename
gAAAAABj7je3jnQSwIEkTBWtUho7W8IIWurlqIcCtaFAaV88-QUrfv92UhUw7z652vm2Ad57m1tll_RMkS9PxgV9j6wFB0u0flpwjP2Fa1EDFnx0N6VPunU=,"@AriadnaArantes @LulaOficial Procuranda mulheres esquerdistas p humilhar e usar um bolsonarista, fazer campanha p Lula e quem sabe mudar o voto",gAAAAABj7je3MDIlAfe2X_FooiJ2dSLH3UUpYHQIrXr76cDgz9nC5bytcfC6u3sGXaTbgPRWayIbDtbNxbpi-_fwjlSZbuIaaxWFwJ5zxNgy_xshXkf_acIeN8R1exN6DFfE4EH3TmtycQkOxlgfCNjIcwwLKwTTUnij-n7Ko2iXwLiLCMXOx9g=,1,1,0,1,1,0,0,1,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je37Dg8D1hcZUiQuCpQhHjMi-bxGqgRQcoWN8JkqM91C2seyeuJG1zPd80uvAFsTOyuWKtaI5JJAHcIDRNMX9gjxvcblgsk9PfUvnqOmDg_4h4=,@AriadnaArantes @LulaOficial Quem é essa agora kkkkkk,gAAAAABj7je3veawsX_08Va510R99jxQBwuvW3jl5eJdt-uXVdqOSJLVNT5JEYU3JIJEUtJDILAAEBxowvKKz4EERLBglcenU-QxRXRlOmngJNz1wCzAuWA5k0WdQVf2Dy_KOJB-v8acUxONyMqtDYrKBjrwNJNmvNzuF2mHBnmnpPQPTSuQZcs=,1,1,1,1,1,0,0,0,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3YMWq11zWv6AA5isefb0AgR5SbJ1EE4baRee1m68Q-2I_FyT69eqyiF2tT3lFzSamcQUWOeUguwuvTAXiyt8rf4DAhHWluz1Knu1hUyH-wiE=,@AriadnaArantes @LulaOficial Quem é?,gAAAAABj7je3S-cbRgkaamcIPi_IOVeoMrumtRA898y254F9q9yu59x5f2-FEEVn3OKDg3VDAr8DuMQ5qodMuwRdkFYqnlRPgiR430yvycqI6d1cOz7PBoZ0qPfq6haCdMEMzK7ZMzaiQM6MHuXPks56oECn7wpc0dN4brN0CiH-l6DnlcpR1kc=,0,1,1,1,1,0,0,0,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3V1PuGA40PjktRRRsC2KPj0Yf5NHVX1yKUPuqUECCYoL03niwKUbPm2uWusQ7a5eRgs5jkzcz55pBOiP910QvWYsSUF-M3UellOt0iZ4ZI-w=,@AriadnaArantes Acho que é ele kkkkkk,gAAAAABj7je3lowJS6xJeLdDJkDt7v8-7qXq4gQKndwM5FCrO-UVu9YNWy0q4yrSfQ3wld22GzMZucF5LQd3BqYVAxcoUwKq-sbioS4k5XsBBtw1GFXR9mhp8G-rj3gRWNlDigaD4q7tCw8etj2CDXRZ72KgT30Chg==,0,0,0,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je39eQ2mZNlAZPn7jlAsc4e8U-Ifx0Cr6YPH3SxmJ3dL5VKn1eWraThFR_PdDJAJCPToaBZ43dHY5bJWi0xrZxuQKAV7x5OS-NVFMRY_nkTsSU=,"@AriadnaArantes acho que é fake, Ariadna",gAAAAABj7je3VsdZsZVaUMWv2upy_x3tLRlF9XmlpkcF3morS9i7mZP91mg_xzR93fYL1bkKcc6qz6aRWdO87wJ4GoRfc1TyjrB83XcyjOh-mD6g8QZjnC1jKQAvvMFO0Sdg6IA7-XwG5l4k-B4RBiiQaAIAkFRNOg==,0,0,0,0,0,0,0,0,-,,-,,-,-,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3Pduc393qO3Dkj4zdhTukaG1Pe1yWqrXYOsTF9B3zMwIpBlUHF0FuyIklGjta7PUYRZzF0JgQ_m0x-q40k60PVml43D4_e10povrlyWG-h-U=,@AriadnaArantes Deve ser o inferno morar lá,gAAAAABj7je3DUhzjyq6WGxM6L-h7W9WI4sFih2Gum9A5_U0_L286DKg2qHn-tqq4A1Kxg7aiqZsKBXjfJubXKnG6-oQCi9_xFEI4GMY1VAPi6I-cjFSfDpeCiNvsT2qOI8Hv8YPQ80HUhd1UPHV0SknPQJfF2JXerFl3cgUffXtG1MnJqkg80g=,0,0,0,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3acXj4tTP6FbHBzQBSQyjS_wDf7PMq2HkJb8f2daUCc6Rn4CVtwT6PGKE1IoU2U8RtckXWNBKwPeInZFttJSmWzilsE64aASWOqBNBYmsx54=,@AriadnaArantes Era só trocar pinto por tinjo.,gAAAAABj7je3j2peFRFU4WxszuejBRGcYA1XqflfyYfB8DstxQQqoX83Xw1P7ITxPxLt-j9al4X-eUUpboEZPPtxOoH3QMNsR3PNYbPNw9p7x4qZLzQnO1p9lMglT1P_Xu-0-D-tHi5Q8BY0f91LWFjfUMHZAwb6BQ==,0,0,0,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je35djOpj4YZCSBtYKd76QC_w4ppt_BnsymwA6eMcZblhVxdmttsRIiPJkdQTI3dQM_S8cvT2H6TMM0gVsy2oLx2V67bmBWXYl5mqSFE0nUAtM=,@AriadnaArantes Foi trocar a fralda que devia tá cheia kkkk,gAAAAABj7je3xhWUVRuV6Vhg1skSf-n2Jt4qSmdACNuiSee-kgv_ymDraPZsty9E3oRpEWUIlf_5xLm-Mh8ktjMoi0srngUcKGj0zMN1aUUMYrYF0uOvgpd9StWlzUT8SpsPMUJVnTcOLI-GCpOvN7b2_PyOOhWgrZaO2Zk9-ROfuOjppE_rT2Q=,1,0,0,0,0,0,0,0,1,Bolsonaro,0,-,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3zIt0Yga8YF0Yx9y-vj3b3f_gnjCEXO67Vev25QBZPcd2UJaD-oe3JlLUMEHPO3Evx7uYK-25_a2emwXzkei3nRM5BA29aqHb9TZYSGKyJPU=,@AriadnaArantes Gostando da mulherada...,gAAAAABj7je3daLAf4dNXe98lDkgtk5yrPn-KhcItZdVoNRDyh8bFyVQNzEhKEHcI7oZ7xfGQFGktc8ZAiBDsF2t-6D2tw6X83XIVDqY7aligdZ9JYguRhmm-U5YLkDidFtPTzMGhFa4w-DmdZR6SqyPrGv6wee-Sw==,0,0,0,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je37p_VsFjo7HDixqY4DOvX0niDI3z_VjjedWXgksEtBkxoLvj0-uYRDs348RDWvGoO0FWtOd2cVUqpeG7XfkCvPOTG486YyprucjBqRcsDOl8=,@AriadnaArantes Não tão expondo o Bozo como deveriam,gAAAAABj7je3s8uaoOlDkVsEWtgmSOYo8Tf_Yi786otmSpJE0AN2QnWFiCZUE1eg2F5izisNgPLOxlAAl55skfWlQQyb4Kna9lCY-a2Hcd6VieCdVVYzd1JZXg-CAHiVhyV4xfXutEbMFze2dykGTreF4eS3Ii_wwA==,0,0,0,0,0,0,0,0,1,Bolsonaro,0,-,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je36mO06ejWLaZt7aGDb7j7hxvpR-VNsZEPYxJFsc7fn-QUeQVGA0QEsQl_4dDeHec_KnVS5T31-R4DE9GCbsHUjueFv5QqY-VizDC2bc0z0kk=,"@AriadnaArantes Porque é Fake @AriadnaArantes, foi um jornal Sul Coreano que postou isso, jornais pro EUA postam direto fake news relacionado a Coreia do Norte",gAAAAABj7je3hJht4ugY4ZWn3gIgFpkMg4pdAD8DRivikM9amaUJghzxda6GVMiBQ9o88XHlJQ-w4BL-HHmLSrHng4sNHHN3ZgxLZLh_LhBgkOEyEcE5W_nGwJFH9kc-H8XPsmVCoZ-A45g60ktZ1hvMWlVrTy3sOMDTUB-8jYmJLVIl4v5QuHo=,0,0,0,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3Z27CqdYMAI5awDjMpr_N0cC1tug1li9tR3PP2nd9u0Zuuc7zUCTzBN8aGL3G8vhBlI_-dg5HYjaMglxtuGiTBRA8p0aTCZywEjWLzUnXSfg=,"@AriadnaArantes pq quase toda notícia de ""fontes"" na coreia do norte são só propaganda, ariadna",gAAAAABj7je3Mv_0vm_SVmKhpeknuf9ZgYVPGp0upCAAqCSyvEj9z1RRpSwT63uAmSW5dSKLRfS1eTwYQZjeEYdeAZ3ffqrVYEpQ6MhpV246w12BencAnWCYmJ09pkHItt4jcj-_MHm5KBtRoGYejXAvuadUWaLyRw==,0,0,0,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3TQCiDC9aLDUXy0hJQ_7RjmOcOBIlFZEEgZLgERv7YK6a1lapSQl2D22UBoL1KFie2nuYsZTC7pzJ796E64g-Ng6Ll9zQNLNs2xYeqUv_QdM=,@AriadnaArantes Sabe da rixa malonhilton né kkk,gAAAAABj7je36sJuItspesPqNSAwoKouf5BLwKiQGw1e3BI_j7qLbSohVkwqCBjmfIjF-5CUFPS2Vk4C3MGkC86zYYfHzHCz6NGwBL4vhFZnJPSLqsR4toUOUM5L708KmtTBf-I2cC0arAvnK0J6KylFuNc1H2KjINnDWJrYi_K69rYNLD5bypc=,0,0,0,0,0,0,0,0,1,Erika Hilton,0,-,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3AKSoTDmNdrqRqzG2a7Q8sQdr7hoWqmA-ea5jEbWC3n1wx04jqF_MDZ1BM5_2WVbZ7sZx36oWPP4lYcN5BL7B36wjQckCUAp9uOh8uAifVJw=,"@beatrizcaminha ...a tia foi uma das maiores psicólogas da cidade onde eu moro,a cidade inteira conhecia ela,ela era querida na cidade inteira...e tudo isso sem essa p... de mimimi de ""racismo estrutural""...boa parte dos pretos que morrem são bandidos que morrem na mão de outros pretos bandidos",gAAAAABj7je3Tz9IameHi9Kz-YrK110vhd1EcVszNN9T1yaCY8BIB-dox8G0KInr35DWTQYZhBasfW5YEWXrNJDsX98PuyirGjJysxy7nyfyiQu8yCp3T8_m-pIVEVxGc_xCvUUzEtZfcHv2MZvUn2p6PDW1Kgk8jj9Z9cAaTh8dNQ1UzyW3BOY=,0,1,1,0,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3eQs510BdLF5Nhn2YlwBwxJ7xdnuwBvPNf913yUYJflDS5LvuKPgFUI72VyXfJzSSM3vQ7jQ7xzIiJrznwK7_6TE38iIQjShFvzBRH_UiF_E=,@beatrizcaminha @JanjaLula Afff.vai assustar o cão,gAAAAABj7je3V3C9hvPmrDN7j8fN8nsJvmdKMvwODwgaPZZDeh2rW0kMpWXMXI6ZcP2d_ccfSEnmmVGt-4EWRU0xYtLmXDgAKtMbjxRCcz1_IF4z85nW_zR9oBC2jbnX5t15-Plzh8Cj8i_TYii4fcP6IFazQ8gHY3D0LPrUAqLZ34gjgHnbfuM=,1,1,1,1,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3u5F-x_rIenu9G8WGoE6_Js2ZyDJeUZtk03PHry8ct0qDhU-r0qXOhlpn1BXMEcQhpW3coIYlGbr3vPe9RpvteLa83gpif28TnHOJhXNisKI=,@beatrizcaminha @JanjaLula Aquela que depenou Itaipu?,gAAAAABj7je35BEtnmO4WGtrdZL0gRqezz-zivTYI4h3XEM1OQmeevgrHUH89bQJldGyw9DDOVHEr2AqRJmA4HusrUxrXGIhz1jGqrXH4TU63fhPv2FU-cf4OqLzMHkvC7sCQ0Gkz5o__yiMRR1ffrm2gU37oTqvwf0Dqai6O7OWVEuETaUmGe4=,1,0,0,1,0,0,0,0,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3r20O3WPFKWnR49V8-XZgdlLB01e7LZbgPzCXHsKLVaxszJdkLnUd34PfLty52UbfX0qVrOmKukOFn3y-6qpeRg73rI2dhtjHKheucfrk200=,@beatrizcaminha @JanjaLula Até parece que esse LULADRAO já ganhou a eleição. Se liga que esse ladrão não vai ser eleito nunca,gAAAAABj7je35CSkwhPirCwohTP1QnNq-yQP3Bv-NcgdyrrsR_kY8a0lz4tbhFls5O24AyEiRPs4J_v9xp1Foc8odUz1pYPQjFbWOafl4ZWxsA2kT2IHtNmTxQZTEUgJKWRLezhKMdxN-ilbX9RR8IlI4rKhnXWeE3OrZ5MWyFjJiCIyZsT67CI=,1,1,0,0,0,0,0,0,1,Lula,0,-,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3YCB5KmWgDY0mYOQBIK5AOls-yDiW5K7cprPMtPmObo10TB0B3Pdqa9iUZ49RKjhpkD7reoOqL1ZItWAK0C8NwaaqnBlmoDeCH9ClJEURUPw=,@beatrizcaminha @JanjaLula Coitada!,gAAAAABj7je3cLAujgsS5oMwCQPboPZEoxVFmKdB7LFgsrxhaekoUtEmlkZfUT_bbYT3bA59W8FT9_6iFWc3fUZdRXlLqAdlTDO73LF4WrkPJcJA2HEqPvOjnmaOBytZI58JWxXSuqaSoqCYzYZYgFKhhi3dl7COyg==,1,0,1,1,0,0,0,0,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3HHO7suBitidTMvjeKQKA-1Q1qi4PGSVSR_OjTMlw7GmfqNalCoKpRwzInyPHngOw0OoXfCbqnVQv6evXnqQDpqG37aruklQeQKeMAqGpMAY=,@beatrizcaminha @JanjaLula Como o Brasil vai cair o nível de 1 dama se o cachaceiro ganhar.,gAAAAABj7je3kc_DyL1c7VigGPYWwYnLYLncJXF10szjUO4f79yeN_qH7YTZqTZ9uwRmGlwxHUsOeE2ac8w_MH0pOarNzlkl4HYS42p_4RiEGHvytGjX0zjepOMRtJp5K3KcdkvKpI_rbcDfiYxwhIkJbMmWYJBukYsRPeirynePbzAwRSO5YbI=,1,0,0,1,0,0,0,0,1,Lula; Janja,0,-,-,-,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3gBgJlvr5Q1nFlq8zdiuzhLOtgeB6-biNtT3YFDj2OAIFaa2dlP1ggW-n7_1CWV37meXBFopcShpICVn6cx9M_KbswvlerE8os40jNzP8WAI=,@beatrizcaminha @JanjaLula Ela não vai não!! Ela não vai não.,gAAAAABj7je3ReiX61TE1EQj_kfFu29qPc8SCNwVz4pxIccztGPr1Zii-P9q_a6OQLJGM_9D9cSU28aOEb_yGL0KYC5m2I7j75uyZhPNYVIUH584e0h7gMHD7EJX3CEYdO5sQjS2PFdDdf65OQknQp4IBlb056YzBg==,1,0,0,1,0,0,0,0,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3mMpVTp4t-5Vb6JDOb-SbUXB5bi4dIiZhO-aTyPY-mqWbNLeu1BrC7atxl0ym7hygtjfqnCYO2H3oCjqB0wrZY_ilUnxHPSOCPVqQQicYKsM=,"@beatrizcaminha @JanjaLula Estão indo fazer macumba?
🔥💀👹🔥👺",gAAAAABj7je3_KjEMo4xAiuENvowtOLXv_EpxQITlqN-UOdlwGFDsl0eQN4qVpzCoRuB8lXmQHhaRUZbh8hDQs9i3DNDOXGJQeniEghscd9C6U2iYSlWrBC07ixTrQksCapxHCWzOTI1J0-mbbg4y0pOE0mMgiAgtg==,1,1,1,0,0,0,1,0,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3RHr71PjIBHgO3fRO7H73YYnrgcYvMbkNUWQ2XSOs5fzH8yNU5_4myafq20S6yBeqY9wLykOMAJxeiGkY5JV9FrlbY0aHmjZ3lOANLaMPGNQ=,"@beatrizcaminha @JanjaLula Existe uma ilha chamada Brasil, porque em nosso país, já dis a velha do zap. ( ELA NAO VAI NAO ) KKKK",gAAAAABj7je3OMSzpp7trjev6wNsYBmENt-ntExhsuIC6N8TfSCNjaM6REUWIsCtbZIqod7xkwZ0f_bbVQTuqPFUdYuBVDqBknmTWItJETM4AslA1hkZDc07y2Ang3dfhgXI5IdguYWpuufd3WpJl_4elh_rxLMSdw==,1,0,0,1,0,0,0,0,0,,0,,0,0,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3aqE_uW83sXijbnPXpiPvO0CoW9iZ87P9RDanvizkLXtk5ilQC2CeEcR-xo7SWslhTlCROmPsXYWCZ-on0zOClN3XOqr6qXREkotAPvLSU-M=,"@beatrizcaminha @JanjaLula Futura sem terra vc quis dizer? 🤣🤣🤣🤣🤣🤣🤣 
Mulher de ladrão vai pra onde 🤣🤣🤣🤣🤣",gAAAAABj7je3eiqCAz8KCZvYlaFKOr_QDRIFS0VkKScjXMrVs2WUpqHwzuRAUYA5TfL8XiV7MC0rxTaO3r1wkDqNMDcdZut8-Y8Lk2IrBCz9z0xb0vkabLxb6tTRMVhCKE8lqZBTY0mNoWyl7zamA_-4H0nBXbQoFQ==,1,0,0,1,0,0,0,0,1,Lula; Janja,0,-,-,-,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
gAAAAABj7je3NCOfpv8ir_3ve_2ox03xTi-ceo57jSyt3t_-swuGFrCm8sf8PHjupEglB-doaD0FbBYZFidnr8ieDK66IvnoSNAG6Z0fyJfky0OT9GaKb7w=,@beatrizcaminha @JanjaLula Kkk piada,gAAAAABj7je3iTpnmiWPkCyfWUlzF9n78PbRuyJ7pfMGFACnCvqCUS5WRKOEWHMHd7tsFnbq9DFCKmtoQguAHmZTACr7WGhsc5d3f4KizOJTaISg6FELJUPtLuS0H0Y5vEJEr86RB0-A4MvkBmwmSviZuOq0SFaGHQcd2rx-cjmDxISO5KXEJyI=,1,1,0,1,0,0,0,0,0,,0,,0,1,../dados/brutos/eletweet22/tweets_anotados_lgbts_A07.csv
